70 => 82, x = 4, y = 0, z = 1, xx = 6, yy = 0, zz = 1
71 => 83, x = 4, y = 0, z = 1, xx = 7, yy = 0, zz = 1
76 => 84, x = 4, y = 0, z = 1, xx = 4, yy = 1, zz = 1
77 => 85, x = 4, y = 0, z = 1, xx = 5, yy = 1, zz = 1
78 => 86, x = 4, y = 0, z = 1, xx = 6, yy = 1, zz = 1
79 => 87, x = 4, y = 0, z = 1, xx = 7, yy = 1, zz = 1
84 => 88, x = 4, y = 0, z = 1, xx = 4, yy = 2, zz = 1
85 => 89, x = 4, y = 0, z = 1, xx = 5, yy = 2, zz = 1
86 => 90, x = 4, y = 0, z = 1, xx = 6, yy = 2, zz = 1
87 => 91, x = 4, y = 0, z = 1, xx = 7, yy = 2, zz = 1
92 => 92, x = 4, y = 0, z = 1, xx = 4, yy = 3, zz = 1
93 => 93, x = 4, y = 0, z = 1, xx = 5, yy = 3, zz = 1
94 => 94, x = 4, y = 0, z = 1, xx = 6, yy = 3, zz = 1
95 => 95, x = 4, y = 0, z = 1, xx = 7, yy = 3, zz = 1
96 => 96, x = 0, y = 4, z = 1, xx = 0, yy = 4, zz = 1
97 => 97, x = 0, y = 4, z = 1, xx = 1, yy = 4, zz = 1
98 => 98, x = 0, y = 4, z = 1, xx = 2, yy = 4, zz = 1
99 => 99, x = 0, y = 4, z = 1, xx = 3, yy = 4, zz = 1
104 => 100, x = 0, y = 4, z = 1, xx = 0, yy = 5, zz = 1
105 => 101, x = 0, y = 4, z = 1, xx = 1, yy = 5, zz = 1
106 => 102, x = 0, y = 4, z = 1, xx = 2, yy = 5, zz = 1
107 => 103, x = 0, y = 4, z = 1, xx = 3, yy = 5, zz = 1
112 => 104, x = 0, y = 4, z = 1, xx = 0, yy = 6, zz = 1
113 => 105, x = 0, y = 4, z = 1, xx = 1, yy = 6, zz = 1
114 => 106, x = 0, y = 4, z = 1, xx = 2, yy = 6, zz = 1
115 => 107, x = 0, y = 4, z = 1, xx = 3, yy = 6, zz = 1
120 => 108, x = 0, y = 4, z = 1, xx = 0, yy = 7, zz = 1
121 => 109, x = 0, y = 4, z = 1, xx = 1, yy = 7, zz = 1
122 => 110, x = 0, y = 4, z = 1, xx = 2, yy = 7, zz = 1
123 => 111, x = 0, y = 4, z = 1, xx = 3, yy = 7, zz = 1
100 => 112, x = 4, y = 4, z = 1, xx = 4, yy = 4, zz = 1
101 => 113, x = 4, y = 4, z = 1, xx = 5, yy = 4, zz = 1
102 => 114, x = 4, y = 4, z = 1, xx = 6, yy = 4, zz = 1
103 => 115, x = 4, y = 4, z = 1, xx = 7, yy = 4, zz = 1
108 => 116, x = 4, y = 4, z = 1, xx = 4, yy = 5, zz = 1
109 => 117, x = 4, y = 4, z = 1, xx = 5, yy = 5, zz = 1
110 => 118, x = 4, y = 4, z = 1, xx = 6, yy = 5, zz = 1
111 => 119, x = 4, y = 4, z = 1, xx = 7, yy = 5, zz = 1
116 => 120, x = 4, y = 4, z = 1, xx = 4, yy = 6, zz = 1
117 => 121, x = 4, y = 4, z = 1, xx = 5, yy = 6, zz = 1
118 => 122, x = 4, y = 4, z = 1, xx = 6, yy = 6, zz = 1
119 => 123, x = 4, y = 4, z = 1, xx = 7, yy = 6, zz = 1
124 => 124, x = 4, y = 4, z = 1, xx = 4, yy = 7, zz = 1
125 => 125, x = 4, y = 4, z = 1, xx = 5, yy = 7, zz = 1
126 => 126, x = 4, y = 4, z = 1, xx = 6, yy = 7, zz = 1
127 => 127, x = 4, y = 4, z = 1, xx = 7, yy = 7, zz = 1
128 => 128, x = 0, y = 0, z = 2, xx = 0, yy = 0, zz = 2
