0 OBS	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
20 OBS	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
40 OBS	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
60 OBS	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
80 OBS	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83220 FLU	0.333 0.056 0.056 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83240 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83260 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83280 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83300 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83320 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83340 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83360 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83380 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83400 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83420 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83440 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83460 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83480 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83500 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83520 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83540 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83560 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83580 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83600 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83620 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83640 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83660 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83680 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83700 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83720 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83740 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83760 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83780 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83800 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83820 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83840 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83860 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83880 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
83900 FLU	0.333 0.056 0.055 0.056 0.056 0.056 0.056 0.056 0.028 0.028 0.028 0.027 0.028 0.028 0.028 0.028 0.028 0.028 0.028
