335	6000	29.302070
670	6000	30.512549
1005	6000	30.954909
1340	6000	31.169879
1675	6000	31.244733
2010	6000	31.338120
2345	6000	31.285885
2680	6000	31.210340
3015	6000	30.550992
3350	6000	20.578177
186	6000	28.131252
372	6000	29.910310
558	6000	30.542507
744	6000	30.954986
930	6000	31.127526
1116	6000	31.278770
1302	6000	31.367277
1488	6000	31.169769
1674	6000	29.643696
1860	6000	21.457269
129	6000	26.776347
258	6000	29.193133
387	6000	30.077712
516	6000	30.531425
645	6000	30.888915
774	6000	31.040140
903	6000	31.226865
1032	6000	31.035009
1161	6000	29.351878
1290	6000	21.077956
99	6000	25.549755
198	6000	28.452726
297	6000	29.617276
396	6000	30.187027
495	6000	30.569973
594	6000	30.838520
693	6000	30.925164
792	6000	30.794251
891	6000	29.951390
990	6000	21.934363
80	6000	24.642573
160	6000	27.804528
240	6000	29.169923
320	6000	29.795482
400	6000	30.283941
480	6000	30.568782
560	6000	30.702662
640	6000	30.610535
720	6000	30.080568
800	6000	22.440460
80	6000	24.642573
160	6000	27.804528
240	6000	29.169923
320	6000	29.795482
400	6000	30.283941
480	6000	30.568782
560	6000	30.702662
640	6000	30.610535
720	6000	30.080568
800	6000	22.440460
67	6000	21.675439
134	6000	27.093188
201	6000	28.605410
268	6000	29.434168
335	6000	29.953613
402	6000	30.257731
469	6000	30.419643
536	6000	30.334415
603	6000	30.055902
670	6000	23.946147
58	6000	20.782868
116	6000	26.477481
174	6000	28.169381
232	6000	29.100128
290	6000	29.650838
348	6000	29.982401
406	6000	30.220387
464	6000	30.115852
522	6000	29.768667
580	6000	22.821301
51	6000	19.612876
102	6000	25.925948
153	6000	27.689497
204	6000	28.699525
255	6000	29.287043
306	6000	29.697012
357	6000	29.945320
408	6000	29.861047
459	6000	29.509401
510	6000	22.170717
